CT,Boro,Turnover
031400,Bronx,8.4
031600,Bronx,6.2
031700,Bronx,19.6
031800,Bronx,11.1
031900,Bronx,0.0
032000,Bronx,8.5
032200,Bronx,14.1
032300,Bronx,6.6
032400,Bronx,11.2
032800,Bronx,9.1
032900,Bronx,12.2
033000,Bronx,7.6
033200,Bronx,19.4
033300,Bronx,9.8
033400,Bronx,0.0
033600,Bronx,3.8
033800,Bronx,14.4
033900,Bronx,13.2
034000,Bronx,16.0
034100,Bronx,22.0
034200,Bronx,7.7
034300,Bronx,11.9
034400,Bronx,10.2
034500,Bronx,8.8
034600,Bronx,7.9
035000,Bronx,7.3
035100,Bronx,17.0
035200,Bronx,18.7
035400,Bronx,0.0
035600,Bronx,5.8
035800,Bronx,6.5
035900,Bronx,3.1
036100,Bronx,3.6
036300,Bronx,5.8
036400,Bronx,6.7
036501,Bronx,8.6
036502,Bronx,11.8
036600,Bronx,14.1
036700,Bronx,24.4
036800,Bronx,14.6
036901,Bronx,23.1
036902,Bronx,13.5
037000,Bronx,6.0
037100,Bronx,10.2
037200,Bronx,14.8
037300,Bronx,12.3
037400,Bronx,12.5
037501,Bronx,0.0
037502,Bronx,6.0
037503,Bronx,27.0
037600,Bronx,4.7
037700,Bronx,12.3
037800,Bronx,3.9
037900,Bronx,20.2
038000,Bronx,11.4
038100,Bronx,13.2
038200,Bronx,10.5
038300,Bronx,13.9
038500,Bronx,17.3
038600,Bronx,14.0
038700,Bronx,16.7
038800,Bronx,11.5
038900,Bronx,24.2
039000,Bronx,15.0
039100,Bronx,20.7
039200,Bronx,18.5
039300,Bronx,12.6
039400,Bronx,6.6
039600,Bronx,15.1
039700,Bronx,32.0
039800,Bronx,8.2
039901,Bronx,15.9
039902,Bronx,16.2
040100,Bronx,9.9
040301,Bronx,11.0
040302,Bronx,9.8
040400,Bronx,5.4
040500,Bronx,17.2
040600,Bronx,7.2
040701,Bronx,24.7
040702,Bronx,10.6
040800,Bronx,6.5
040900,Bronx,3.1
041000,Bronx,0.0
041100,Bronx,13.6
041300,Bronx,14.1
041400,Bronx,8.1
041500,Bronx,13.2
041800,Bronx,6.8
041900,Bronx,4.7
042000,Bronx,15.3
042100,Bronx,18.4
042200,Bronx,15.1
042300,Bronx,14.9
042400,Bronx,16.2
042500,Bronx,7.7
042600,Bronx,7.0
042800,Bronx,1.4
042901,Bronx,17.0
042902,Bronx,12.8
043000,Bronx,3.9
043100,Bronx,10.8
043200,Bronx,10.0
043500,Bronx,0.0
043600,Bronx,14.6
043800,Bronx,5.6
044000,Bronx,9.8
044200,Bronx,12.6
044600,Bronx,0.0
044800,Bronx,7.3
044901,Bronx,6.7
044902,Bronx,10.9
045101,Bronx,19.8
045102,Bronx,3.6
045400,Bronx,5.2
045800,Bronx,3.5
046000,Bronx,9.9
046201,Bronx,5.3
046202,Bronx,7.5
048400,Bronx,8.6
050200,Bronx,3.0
050400,Bronx,0.0
051600,Bronx,12.4
000100,Kings,10.6
000200,Kings,13.7
000301,Kings,14.5
000302,Kings,12.6
000500,Kings,15.6
000700,Kings,25.0
000900,Kings,24.0
001100,Kings,14.9
001300,Kings,21.0
